,label,keyword
1857,1,就是唉对对对
413,1,但是是是是是
845,1,啊是啊那个
1982,1,可以呀对呀
118,1,喂我是大三三
1889,1,哦哦哦你好
1798,1,哦就是那啥
1500,1,对怎么回事
1096,1,是的但是我
1129,1,嗯是呀咋啦
2094,1,我现在是离异
117,1,我是三千吗
828,1,嗯我是单身嘛
472,1,嗯那是现在是
1862,1,是的一直没送
588,1,嗯那个是
669,1,是啊我但是呢
1688,1,我记得是单身
1778,1,对的对的就是
1111,1,但是啥装啊
1584,1,现在还是杠三
330,1,嗯对呀但是啊
944,1,嗯知道了
1042,1,我但是当三吗
939,1,哦但是对
1678,1,就是圆圆
496,1,哎对现在吗
2151,1,嗯买东西了耶
385,1,嗯是的但是
1094,1,对呀知道吧
818,1,哦现在是吧
274,1,啊那个对呀
79,1,是的我是啊
1927,1,嗯不知道女士
1095,1,嗯我知道了嗯
427,1,哦哦知道是
462,1,哦那个我是
720,1,哦我是单身嘛
1946,1,嗯离异单身
1410,1,哦离婚呢
1523,1,现在还是担心
1609,1,嗯那女士
1196,1,哦注册了对
621,1,但是是
239,1,我我是单身
137,1,啊是的但是
1462,1,我不是离婚
2150,1,对女士
904,1,对现在先
721,1,嗯我那个镇
1227,1,我是珍爱网了
652,1,现在是离
1192,1,啊嗯还是
410,1,我现在是嗯
1207,1,对的呀啥子
1286,1,对对怎么回事
562,1,我是单身嘛
1727,1,哦哦这样子啊
625,1,哦我现在是啊
325,1,对呀那现在是
390,1,嗯我是单身的
41,1,必须是大三
487,1,哎那个是啊
2062,1,是这样子的了
1276,1,对先生啊
20,1,对发生
1168,1,呃呃那已经是
1994,1,对没可以
1706,1,就是我没老婆
1776,1,咱们把那北京
2072,1,嗯试试吧
976,1,但是三千年的
510,1,啊啊但是
1257,1,怎么了有事吗
624,1,但是干嘛了
66,1,呃我是是是
511,1,对我现在离
617,1,啊但是
461,1,是啊不知道
2077,1,嗯可以剪的
1120,1,我我知道是哪
1305,1,哎怎么样
272,1,那个啊对对对
1841,1,嗯好试试
1076,1,呃但是啥呢
1476,1,哎呀怎么
1509,1,嗯是单车
1658,1,嗯我在你们
1635,1,对听不到
1702,1,你就是
62,1,我是说是的
1347,1,哦我是担心呢
947,1,对他现在我
1588,1,哦还在担心的
212,1,四单身怎么说
1058,1,哦我知道啊是
1940,1,嗯请问女士
915,1,但是等下
1570,1,是的有问题吗
1281,1,我还是处男的
1321,1,哎对是单车
1715,1,哦我离异的
914,1,谁呀谁但是啊
1833,1,我就是单身啊
802,1,对头我是单身
646,1,呃现在是
155,1,单身的是的
2060,1,我说你们有嗯
751,1,那个是我提哦
1306,1,啊是有问题吗
1681,1,嗯什么不能
1396,1,还是还是单身
1886,1,这就是
1582,1,怎么啦有事吗
728,1,对对对对那个
993,1,啊但是呢啊
1472,1,是呀我是担心
243,1,我我哪里但是
71,1,我是单人呀
1357,1,我是来网上
1051,1,啊我那个对
373,1,嗯那我那个
891,1,哎但是但是
810,1,哦那个是吧
1323,1,珍爱网的对吧
879,1,对我现在现
1714,1,是单身的你们
579,1,嗯嗯我知道我
