,label,keyword
833,1,现在晚了是吧
720,1,哦我是单身嘛
957,1,但是呢怎么
844,1,嗯我不那个
714,1,嗯那个嗯是的
273,1,哦我是单身呀
1205,1,嗯但是还是
1215,1,嗯还没结婚呢
902,1,四三三但是
392,1,我现在有了
428,1,那现在是
856,1,啊对对对那个
1029,1,哦是但是
585,1,嗯知道我
1295,1,单身怎么样
1470,1,我是没事
438,1,啊对知道了
73,1,嗯我是大三
594,1,哦我现在嗯
1551,1,珍爱网对呀
186,1,我是那个
907,1,单身呐但是呢
230,1,但是那不改了
1353,1,注册的是的
586,1,哦哦那个
931,1,嗯我现在吗
129,1,啊但是现在
682,1,呃但是呢
277,1,嗯我现在呢
822,1,是单身是但是
1341,1,是的先生
1578,1,建设一个啊对
480,1,我是单身怎么
722,1,啊现在对呀
1065,1,我知道了是的
641,1,但是章
735,1,啊但是对对对
1007,1,但是网
109,1,我是三千
749,1,嗯那个线
138,1,我问我是单身
986,1,哇但是我
1535,1,我是担心的
1117,1,订单单但是我
883,1,对我知道要
649,1,嗯到现在
740,1,哎我是单身
602,1,现在呀是啊
253,1,啊是单身呐
679,1,我现在是静
367,1,嗯哎这种那个
1020,1,他说是吧但是
378,1,但是但是
1171,1,啊有事吗美女
111,1,啊我是单程的
998,1,哦那个是我朋
29,1,是单人怎么讲
751,1,那个是我提哦
1225,1,哦我担心吗
1500,1,对怎么回事
730,1,啊但是我
486,1,现在是是是
85,1,当然喽
1075,1,但是但是但是
321,1,好那个呀是啊
1271,1,那过单车
688,1,哦但是单身吗
657,1,我不知道是是
430,1,嗯现在完了
1309,1,啊对咋啦
1153,1,呃怎么样你说
146,1,嗯现在是我
1195,1,单身狗啊在家
1154,1,对海担心
985,1,我是单身涨了
524,1,啊现现在啊对
1057,1,现在嗯
1418,1,没事没事对呀
118,1,喂我是大三三
711,1,但是他先
139,1,对啊单身呢
483,1,嗯那个好
915,1,但是等下
1123,1,嗯那个是的
236,1,呃对但是
669,1,是啊我但是呢
1109,1,嗯知道了哈
1051,1,啊我那个对
21,1,呃对对是的
1211,1,老是担心那
1423,1,对怎么样了
1558,1,呃现在先生
61,1,我是大三
1459,1,我现显示
1475,1,啊啊咋啦
219,1,呃是单身
1555,1,我是离婚的呀
1239,1,对呀怎么样喽
487,1,哎那个是啊
1464,1,呃现在是担心
490,1,对但是我现在
708,1,哦我但是
1405,1,哎你还还是
1491,1,还是的
1259,1,对还没结婚
1115,1,对呀我看那个
1233,1,肯定担心的
829,1,这我知道但是
939,1,哦但是对
18,1,嗯是的美女
1188,1,我还是单身嗯
10,1,是啊是三三
622,1,嗯但是嗯嗯
1266,1,哦哎呀我是
750,1,嗯那个现在
1073,1,嗯那个
1377,1,不是离婚
262,1,但是啊
975,1,但是嘛但是嘛
330,1,嗯对呀但是啊
1293,1,行吧那怎么样
604,1,嗯我是单身啊
609,1,嗯我现在上
1366,1,还是光纤猫
1024,1,嗯现在哎哎哎
1595,1,对呀还是单身
1217,1,啊单车
1078,1,我是单身大学
1098,1,啊那个是是
568,1,那个对对
446,1,哦哦现在那个
837,1,我现在是啊
858,1,是的是的但是
560,1,啊我是到现在
1028,1,现在对
116,1,啊当然啦
207,1,那还单身
39,1,呃我是
545,1,嗯但是我
51,1,我是单的
362,1,现在是
1365,1,那我担心
1126,1,什么担心啊
308,1,嗯啊现在
1391,1,嗯对离婚
1348,1,那怎么样啊
206,1,嗯单身呀
573,1,哦我现在也是
717,1,我知道是他
1544,1,对对对先生
91,1,对呀当然呢
354,1,啊对的那个
1381,1,嗯对咋啦
103,1,当然是啊
348,1,现在是对的
1323,1,珍爱网的对吧
611,1,嗯现在的给你
1485,1,先生对
1301,1,嗯我还是再试
1004,1,哦那个是啊
850,1,是啊现在是
1016,1,啊是那个是吧
969,1,我是单身对
295,1,我现在是的呀
888,1,但是呢是啊
339,1,嗯但是那个
820,1,行啊我现在是
542,1,但是可用
801,1,啊是但是不
824,1,哦刚刚但是
540,1,呃对呀但是呢
338,1,对呀怎么那个
654,1,嗯死了知道了
1118,1,哦是但是的呀
1563,1,我等我我担心
999,1,是的但是是的
500,1,我是单身走了
802,1,对头我是单身
1439,1,刚刚离婚单身
1286,1,对对怎么回事
526,1,啊我现在是
20,1,对发生
1136,1,嗯查了还是
322,1,嗯现在是单身
1332,1,现在还是的
1388,1,嗯对还是担心
363,1,我现在是对的
921,1,对受益人但是
210,1,我现在但是
419,1,啊对对对现在
