imp_date,requestid,label,prob,keyword,rank,textlen,text,biaozhu,contextid,servicecode,responsetype,reqtype,status,describ,startstamp,kdkeyword,kdanswer,ms,kdprob,errorcode,kdresponsetype,createtime,updatetime,data_date,
20190221,2m42819022113380850613150121550727497921,TA1,-1,\b是的\b,1,2,是的,1,2m4281902211338085061315012,3910,0,0,A,,1550727497921,(null),(null),243,-1,0,[B@af14dcc,2/21/19 13:38,2/21/19 13:38,20190221,
20190221,z3y5519022114153167313127441550729765874,TA1,-1,嗯是,7,3,嗯是啊。,1,z3y551902211415316731312744,3910,0,0,A,,1550729765874,(null),(null),50,-1,0,[B@6f9c0800,2/21/19 14:16,2/21/19 14:16,20190221,
20190221,oaA4S19022114314425713130711550730743099,TA2,-1,"已.{0,1}找到",3,11,哦哦，现在已经找到工作了。,2,oaA4S1902211431442571313071,3910,0,0,A,,1550730743099,(null),(null),37,-1,0,[B@850d908,2/21/19 14:32,2/21/19 14:32,20190221,
20190221,k9I8519022117060222613143311550740000415,,-1,,-1,2,啊啊。,5,k9I851902211706022261314331,3910,0,0,A,,1550740000415,(null),(null),34,-1,0,[B@5596d59f,2/21/19 17:06,2/21/19 17:06,20190221,
20190221,81hK919022114212063213128681550730126661,,-1,,-1,10,噢，机关的电话呢，现在啊。,5,81hK91902211421206321312868,3910,0,0,A,,1550730126661,(null),(null),21,-1,0,[B@35096043,2/21/19 14:22,2/21/19 14:22,20190221,
20190221,dm64719022114205602013128501550730094025,TF3,-1,再见,8,3,好再见。,3,dm6471902211420560201312850,3910,0,0,F,,1550730094025,(null),(null),20,-1,0,[B@36d58a13,2/21/19 14:21,2/21/19 14:21,20190221,3.50864422202002
20190221,4yeW119022114473025313133941550731680353,TA1,-1,是啊,7,2,是啊。,1,4yeW11902211447302531313394,3910,0,0,A,,1550731680353,(null),(null),20,-1,0,[B@1a6d83fd,2/21/19 14:48,2/21/19 14:48,20190221,
20190221,YUz0z19022115205005613141211550733690408,TA2,-1,打错,3,8,没有啊，你打错了啊。,2,YUz0z1902211520500561314121,3910,0,0,A,,1550733690408,(null),(null),20,-1,0,[B@9f85d22,2/21/19 15:21,2/21/19 15:21,20190221,
20190221,8L61819022115005112713136481550732508904,TA2,-1,"我.{0,4}结.{0,1}婚",3,7,哦，我现在结婚了。,2,8L6181902211500511271313648,3910,0,0,A,,1550732508904,(null),(null),19,-1,0,[B@12df27ef,2/21/19 15:01,2/21/19 15:01,20190221,
20190221,Qn27819022115424019213146761550735000389,TA4,-1,没时间,5,7,啊，你现在没时间。,4,Qn2781902211542401921314676,3910,0,0,A,,1550735000389,(null),(null),19,-1,0,[B@760fa3e3,2/21/19 15:43,2/21/19 15:43,20190221,
20190221,x432X19022115542720113149281550735718374,,-1,,-1,11,你现在干什么啊，你说什么？。,6,x432X1902211554272011314928,3910,0,0,F,,1550735718374,(null),(null),19,-1,0,[B@45201548,2/21/19 15:55,2/21/19 15:55,20190221,
20190221,NC6K819022116232126213122791550737440379,,-1,,-1,1,喂。,5,NC6K81902211623212621312279,3910,0,0,A,,1550737440379,(null),(null),19,-1,0,[B@724d0974,2/21/19 16:24,2/21/19 16:24,20190221,
20190221,P079519022114205727713128561550730085896,,-1,,-1,5,什么东西啊？。,6,P07951902211420572771312856,3910,0,0,F,,1550730085896,什么东西,Tkd1,18,-1,0,[B@54dd39ad,2/21/19 14:21,2/21/19 14:21,20190221,
20190221,FE05S19022115270604813142891550734051898,TA1,-1,是啊,7,2,是啊。,1,FE05S1902211527060481314289,3910,0,0,A,,1550734051898,(null),(null),18,-1,0,[B@10042bbd,2/21/19 15:27,2/21/19 15:27,20190221,
20190221,63u7019022116010430813111991550736103906,,-1,,-1,3,啊知道。,5,63u701902211601043081311199,3910,0,0,A,,1550736103906,(null),(null),18,-1,0,[B@198a298d,2/21/19 16:01,2/21/19 16:01,20190221,
20190221,NI3s119022116132783513117701550736846889,,-1,,-1,7,哦哦哦什么婉儿？。,5,NI3s11902211613278351311770,3910,0,0,A,,1550736846889,(null),(null),18,-1,0,[B@74503eb4,2/21/19 16:14,2/21/19 16:14,20190221,
20190221,6lwH919022117010966013140811550739704400,TA1,-1,什么事,6,8,嗯，是的，有什么事吗？。,1,6lwH91902211701096601314081,3910,0,0,A,,1550739704400,(null),(null),18,-1,0,[B@2a464163,2/21/19 17:01,2/21/19 17:01,20190221,
20190221,s21T019022114081561113125491550729321391,,-1,,-1,1,啊。,5,s21T01902211408156111312549,3910,0,0,A,,1550729321391,(null),(null),17,-1,0,[B@76c57e4d,2/21/19 14:08,2/21/19 14:08,20190221,
20190221,Jt3gX19022115041232713137711550732683414,TA1,-1,单身,6,10,啊，对幺三三八的是今天。,1,Jt3gX1902211504123271313771,3910,0,0,A,,1550732683414,(null),(null),17,-1,0,[B@7300257b,2/21/19 15:04,2/21/19 15:04,20190221,
20190221,8C0cs19022115341782213144571550734484389,TA3,-1,不用,4,13,啊，不用谢谢啊，我觉得注册完了。,3,8C0cs1902211534178221314457,3910,0,0,A,,1550734484389,(null),(null),17,-1,0,[B@12d7224,2/21/19 15:34,2/21/19 15:34,20190221,
20190221,fxJEm19022116235228813122631550737474380,,-1,,-1,18,哦哦，然后是然后是玩儿意乱神，我不要再哈。,5,fxJEm1902211623522881312263,3910,0,0,A,,1550737474380,(null),(null),17,-1,0,[B@4c4a1ef6,2/21/19 16:24,2/21/19 16:24,20190221,
20190221,owR5319022116455969213133441550738796406,,-1,,-1,11,啊先生，引导错了，我们搞个。,5,owR531902211645596921313344,3910,0,0,A,,1550738796406,(null),(null),17,-1,0,[B@27e72f4d,2/21/19 16:46,2/21/19 16:46,20190221,
20190221,O83Cj19022117002657513140541550739661903,TA4,-1,上班,5,7,那你这边上班的。,4,O83Cj1902211700265751314054,3910,0,0,A,,1550739661903,(null),(null),17,-1,0,[B@70d25608,2/21/19 17:01,2/21/19 17:01,20190221,
20190221,2A06019022118495141113148551550746225922,,-1,,-1,5,知道了是吗？。,5,2A0601902211849514111314855,3910,0,0,F,,1550746225922,(null),(null),17,-1,0,[B@33770966,2/21/19 18:50,2/21/19 18:50,20190221,
