label,keyword
6,你干嘛
5,你能查一下
3,知道了
5,哎这怎么下
1,可以呀谢谢啊
1,啊行好嘞好
6,后续什么意思
1,可以没事好的
6,啥时候注册的
2,嗯那拜拜
2,嗯不是的
2,谢谢不需要了
2,啊不需要的
6,您是哪个哪里
1,我说好我说好
1,哎呀好嘞
1,可以谢谢哈
5,忘了我是那个
2,哦哦搞错了吧
5,没来电话了
1,行好嘞好再见
1,可以好拜拜
1,啊那也行那行
1,好ok好拜拜
1,嗯那没问题
1,啊没问题
1,啊就说好了
1,嗯这样子啊
4,我在上班
2,嗯暂时不起吧
1,这个要哦行了
1,那行先这样啊
2,嗯拜拜拜拜
2,搞错了
3,还有这样的事
2,有一个这个
5,嗯不是你打的
5,喂你是单身吗
4,嗯在上班
6,嗯去去哪儿呀
6,啊你们去哪里
2,不用了不需要
6,有你有对象吗
6,啥啥意思
1,那个行
1,可以拜拜
1,行行行我现在
1,啊好行谢谢
2,啊不是吧
2,啊就不需要了
2,不需要哈
2,啊不需要了呢
1,好的到时候
1,嗯到时候可以
2,哦不需要了啊
1,啊行需要
6,哦你们是哪的
1,行行行哈哈哈
3,呃随便啊
6,珍爱网的对吗
2,哦我不玩这个
2,要不要啊
5,啊那个我现在
6,打电话给我啊
1,行行行可以写
2,呃不要了啊
2,那谢谢拜拜
5,晚上
1,好我知道
2,啊这个不需要
1,好行谢谢
1,好就这样了
1,啊可可以但是
6,呃您这个是
4,好拜拜在上班
2,呃也不太需要
1,再看一下
2,嗯算了啊
1,行好再见
2,不不需要哈
1,ok嗯好嗯
1,到时候再联系
1,嗯这样
2,嗯不用谢谢啊
4,嗯上班
5,啊我说怎么来
1,行了一下
1,哦行好吧
6,你这边是什么
1,嗯嗯哪个
2,啊不好意思啊
5,啊我怎么你说
5,哎没事
1,可以的谢谢你
1,可以好行行好
1,好可以谢谢你
5,嗯说完情况呢
1,行行行好那个
1,好行谢谢你哈
5,嗯他打电话了
1,哦行行好的
2,我现在不是了
6,不是哪边的
2,搞错了搞
1,啊行行好吧
1,好的我在上班
1,啊好好拜拜
1,哦好好拜拜好
1,嗯这个可以
5,在干磨了怎么
1,嗯行好嘞拜拜
1,好的是这样的
2,不是下
1,那行行好嘞
1,哦ok没问题
3,啊知道了哈
1,行行行挂了啊
1,嗯好吧没问题
1,ok没问题啊
1,嗯可以行谢谢
6,你是哪个啊
1,ok行吧
1,我想搜一下啊
1,好好可以谢谢
6,是在珍爱网啊
1,可以没问题啊
6,那是什么意思
1,嗯好可以谢谢
6,你去哪儿啊
2,啊那行金命
1,行行好谢谢
2,我没有注册
3,这样吧
5,有没有啊
1,嗯可以好谢谢
1,嗯这样吧
1,可以了好谢谢
2,不不不需要了
1,也没事可以吧
2,不用了好谢谢
1,好好我知道了
2,嗯不要了哈
1,啊没问题啊
1,好知道了谢谢
1,啊那行
1,嗯ok感谢
6,嗯干嘛嘞
3,是这样子
1,喂你好呀谢谢
3,嗯看时间吧
2,不是的
4,现在我得上班
1,没问题呀
1,好吧我想你们
6,怎么说明啊
1,那好的谢谢啊
1,行行行好好
2,不是我啊
2,那个不用了吧
3,啊再看吧
1,行好的可以
1,好好先这样
1,这样可以的
1,哦那行
1,好没事了谢谢
1,好好好行拜拜
1,可以这样子
2,妈妈好拜拜
4,现在没空
1,那行吧你说
3,哦这样子是
6,你这边是哪边
1,好的拜拜再见
16,可以去哪里呀
3,嗯当时看看钱
4,我你在上班吗
1,可以啊没事啊
1,那行吧好吧
5,有什么对象
2,现在有个不要
1,ok可以谢谢
5,那个电话就
6,珍爱网吗
2,我不要了
6,这个具体情况
1,可以现在上班
6,好是珍爱网吗
1,哦好吧拜拜
3,到时候再看
4,这样没时间的
4,哦现在没空啊
1,啊说好
2,我不是打开
1,行行好好好
1,啊行行哎好
1,哦好的没问题
2,不是五
5,咱们晚上啊
5,在那个
6,你们是深圳吗
6,嗯请问你是
5,哦哦哦是不是
1,行行行好下去
6,你你是哪儿的
6,这个请问你是
2,哦不是不是
1,好好谢谢啊
5,暂时
6,说什么情况吗
5,对不这个意思
1,那好吧好
5,嗯这个的话
1,哦哦哦行幺九
1,嗯可以吧随便
1,好的谢谢拜拜
1,啊行好行好
5,啊我是单身啊
1,哦没有问题
1,嗯行好的可以
1,好的好的行好
1,哦行好可以
5,我的电话的
6,就是哪边
1,不是好的好的
2,啊啊拜拜
2,哦算了不用了
4,我这个没空啊
1,啊行吧行ok
2,不要打电话
6,不是你是谁
2,啊这个不用了
5,那个没关系
5,妈妈在这个
1,嗯嗯拜拜哎
1,好好好行了
6,嗯那个王
2,不想
3,哦这样的是吧
1,啊行行好好好
6,你们放假了吗
3,看看啊谢谢
1,谢谢好好好
1,啊我说好的
5,暂时先说吧
2,好谢谢不用了
1,嗯好要在拜拜
16,可以发信息吗
5,我不是填的吗
6,你是珍爱网吗
1,嗯ok口语的
4,好我在上班
1,那好的好了
2,没事啊再见啊
5,那倒明白
1,啊行那先这样
4,好现在没空啊
1,嗯就这样吧啊
1,啊可以了谢谢
2,他不需要吧
1,呃行没问题
1,行行行可以的
5,啊明白吗
3,我们再说吧
5,可是要那个
5,哎呀太高
1,行行行好的
1,啊好的ok
3,啊这样啊谢谢
1,这样的好的吗
1,好的没事了
1,行行嗯
1,好没事
5,好那个就
2,哎不是y
1,哦可以谢谢
5,你好啊
1,可以啊不客气
2,不用不用谢谢
6,你是珍爱网啊
5,你好咋的
2,我不是
6,你哪位呀
1,嗯先就这样吧
6,打电话呢是啊
3,看情况吧嗯
5,不觉得麻烦吗
2,那这个不用
1,那那行吧
1,哦哦哦可以好
4,啊明天上班会
6,哦你是那个
5,你们是版哦娃
2,嗯算了嘛算了
1,嗯哦就这样
2,哎不需要了哈
3,啊就这样
5,但是嗯
5,你觉得呢
2,最好不要了吧
1,ok嗯好的
2,嗯你搞错了吧
1,啊啊啊行行行
1,好行好好行
5,哦这个
1,好没问题
2,算了算了算了
1,好的不客气
1,好好的就这样
1,哦行行行好好
1,可以这样
1,啊可以谢谢
1,嗯我会ok
5,你在这个
2,嗯那个不行
1,好行的
5,就是什么
3,随便吧
3,对是这样的
1,哦哦哦好可以
1,好这样好吗
1,嗯看一下啊
1,呃可以ok
1,你好好的谢谢
1,行好了谢谢你
5,怎么呢
5,哦不是问我
4,上班时间不行
1,行好的好行好
5,怎么什么
2,呃不想说吧
5,就这种就喜欢
6,这是你电话吗
2,不是不是那个
16,可以哪个网
3,嗯随便吧没事
6,啊你哪个呀
1,好的好的没事
1,嗯没有问题
1,说一下
1,你喜欢可以吗
1,可以的谢谢好
5,注册什么了
6,没事什么事啊
1,哎好那行
2,啊搞错了
2,那不用了谢谢
1,哦行好的
6,怎么情况
5,就是在说吧
1,啊没事可以
5,嗯不是一周
6,直接打电话的
2,不要我不要了
6,你怎么知道
6,你哪位
6,打个电话给我
2,谢谢了不用了
