,label,keyword
66,1,呃我我这我是你们那个会员我我后来搞错了
101,1,啊我就想找个老婆过年
134,1,现在肯定是单身啊
85,1,这当时我不在你们网上找了你们网上那些单子都是骗人
29,1,是的我弄得完了呢
216,1,哦哦哦是怎么了
83,1,对但是我是无意中弄的昨天晚上弄的
52,1,哦我现在还考虑一下吧好吗
168,1,是啊是啊单身呢
16,1,啊现在还是但是我我又在再聊了
36,1,对的我现在正好称杭州回宁波啊在车上
81,1,对对对我是大婶
125,1,哎呀我是比较穷的单身就是单身了
59,1,啊然后呢然后你你明白么
203,1,是啊正在肯定是单身吗您有什么想法吗
2,1,我是但是关键我今天干什么呢
133,1,是单身什么事啊
114,1,是是不到时不再重复在线火炬较多啊
159,1,我是单身呢我是问你注册什么名字呀
88,1,啊我注册了我好像没成功吗
79,1,对呀我现在就在家呢
67,1,哦嗯是是是是是
116,1,是是对是的是嗯
15,1,是的之前两位老师你给我介绍过但我实在是抽不出时间过来
61,1,是啊我有个女的
127,1,你给我单身不单身干嘛但是你介绍老婆给我吗
182,1,现在是单身还还是单身
70,1,我我是你给我开辟的了啦
143,1,我是单身又有什么事啊
94,1,你需要安排那个对吧
141,1,啊是单身但是我我我不走
47,1,那个就说那个那个鲜啊现在还还是
91,1,对对对呃随便看
35,1,哎是啊我过我回复出来了
171,1,是单身呐你给我找啊
112,1,我注册过资料
102,1,啊对的对的是是的
50,1,嗯是等于我现在不经常快给我弄
161,1,你在那网是吧对我单身
90,1,我现在暂时是吧
154,1,是的是是单身的
24,1,啊是的是的再见啊
109,1,啊是啊这我就聊在这qq上多好呀
34,1,哎是的暂时男科
48,1,不是你说吧你你说你说
158,1,嗯我是单身怎么了
111,1,是啊我感觉你们那个太假了没有
12,1,这个不需要了不需要了
208,1,我是单身啊怎么了
68,1,对的我还是单身
105,1,是是是我那天我是等运动
151,1,我是单身啊但是你搞什么活动呢
172,1,单身是单身单身
177,1,我啊现在是单身
19,1,对没珍爱网我我现在就说那个
75,1,然后是我之前的今天我朋友弄的
164,1,单身是大声对的
123,1,对我是单身有问有什么事
78,1,什么车辆你说
188,1,哦哦哦哦是怎么了
58,1,我现在还是但是就是上玩一玩
155,1,我现在是单身么
63,1,哎是的我们情况
31,1,一百块对的对的
18,1,我们先最近没有登录呀
14,1,你说现在还是单身
