,text,label
0,我要了解我不是单身,2
1,哦那个呃那个,5
2,是那个回头再说好吗,4
3,没有啊找到了,2
4,是啊哪里呀,1
5,那就是不贴画,5
6,你搞错了吧,2
7,哦哦不行,2
8,哦那个,5
9,现在我在外面办事情啊我在外面办事啊,4
10,不是是是是寺庙,2
11,哦哦哦不是拉不出来有朋友了,2
12,我是支付宝,1
13,行我就睡觉嗯,4
14,不用了谢谢我已经找到了哈,2
15,回头再接电话我这边有电话,4
16,哎没搞错了哈,2
17,单身我了啊,1
18,没有现在有了,2
19,你投多少年前的事了大姐,3
20,我现在要就是,1
21,我现在不用吧,3
22,哦我现在上班呢不方便哈,4
23,那不需要他们,3
24,没有啊没有哦,2
25,不是不是完了,2
26,是是是回头再说好吧我在处理事好吧啊,4
27,对他现在我,1
28,嗯没有,3
29,我现在钱没有这想法了头段时间有些没有先进不不那什么了,3
30,那我现在在上,5
31,不是我找到了,2
32,但现在不用,3
33,转那个,5
34,嗯女士的,5
35,嗯现在已经找到了,2
36,不好意思我退完了吗好有了有了好好好好,2
37,现在没时间回头再打我电话,4
38,哼不用谢谢,3
39,不是你你说哪,6
40,方便,5
41,哦那个资料啊,5
42,啊不用了谢谢没有了谢谢,3
43,我现在是单身但我现在在上班不方便说话哟,4
44,嗯啊不是不是,2
45,好没有了没有,2
46,有女朋友啊,2
47,我现在在上班呢不方便接电话听筒听明白了吗,4
48,啊我现在不方便我在外面办事呢,4
49,嗯那不是,2
50,没呃不是,2
51,我现在不找了,3
52,我已经是哪里,2
53,嗯你好我现在不方便接电话,4
54,我改了单身,1
55,我现在忙哈我现在忙啊好好,4
56,啊对对对我现在没时间啊好好好咱们好了吧找到活了吗,4
57,啊不是老婆试了已经找到了,2
58,了很久之前发的我现在上班不方便说就行,4
59,哎呀我没事,5
60,这时间我回头晚点的话再说了我现在比较忙,4
61,我现在在开车也不方便晚点再说吧,4
62,我现在在外面我手机没电了我到时候再打电话给你,4
63,嗯现在方便,4
64,回头再说吧我在开车啊,4
65,宅急单身急吧,1
66,那个不好意思三二毛线先例小心回头再说,4
67,是的是的我现在在外面外面不方便好吧,4
68,不是的我在开会回头大好,4
69,不用了谢谢那是闹着玩呢,3
70,不好意思我现在在上班不太方便,4
71,我在国外那个,4
72,我知道了,5
73,同意是不需要,3
74,哎你好我现在没空了我现在正在忙没时间聊这个,4
75,单身好像,1
76,啊不是啊姐,2
77,陪又没有没有,2
78,我现在不行了,4
79,哦现在忙着了,4
80,不是拿了,2
81,不可以用,3
82,还没有搞错了,2
83,呃我不是的,2
84,我现在上边那上班不方便,4
85,嗯我是单是吗,1
86,不好意思最近建了一个正常这呢,3
87,嗯这个我不需要谢谢啊,3
88,你就是,1
89,呃上那个嘞,5
90,那现在不用了,3
91,现在不需要吗,3
92,不用了那天点的那个啥了我不用了啊,3
93,我在忙着呢回头再聊好吗,4
94,我现在吗,5
95,哦不好意思哈,3
96,啥不需要等,3
97,不好意思我现在没空致电吗在外面,4
98,嗯没那个啊,5
99,不是那那不是我的号哎,2
100,是的我现在打电话不方便在正在上班然后再说行吗,4
101,你要是那个,5
102,嗯嗯我现在还,5
103,没有怎么,3
104,那没事,2
105,不好意思我不是善交已经找到了,2
106,我我我有对象,2
107,啊是的单身,1
108,啊已经找到了不用了谢谢你帮我注销掉吧把账户,2
109,要不到,5
110,我现在开着车好吧,4
111,这边不方便回头再说,4
112,在的我现在,5
113,哦不好意思啊,3
114,哦没有离异,1
115,对呀他知道,1
116,好嘞谢谢不用,3
117,现在正在谈呢,2
118,这个我在忙回头再说吧哈,4
119,哦哦哦现在不早了,3
120,不行还是对,2
121,哎我现在是,1
122,我们电脑都出来了是我不小心,3
123,好好好现在都没空了人家来说啊我现在刚好上班有住的,4
124,是啊我现在开始发放在这里说,1
125,你们的店在哪里呢,5
126,嗯不是是的,2
127,对呀云离婚了,1
128,不不不是吧,2
129,哦那个写错了,5
130,不是不是我靠,2
131,哦不是吗,2
132,呃呃呃呃不是,2
133,在睡觉吗,4
134,啊不用了不用了那他弄错了好不好意思,2
135,不用了麻烦,3
136,问题来了,5
137,那个下登录的,5
138,不是的是,2
139,啊不好意思我现在外面不能有事不好意思,4
140,那我回头再说吧现在有事情啊,4
141,哦上班呢不方便呢,4
142,啊我回头给你联系我现在没空啊,4
143,没呃我不是呀,2
144,回头再说吧行吧我现在忙啊有时间我去联系你们吧好吧,4
145,嗯现在没有了谢谢啊,5
146,我啊现在是单身,1
147,谢谢我现在这个不大方便展现回头再说好吧,4
148,哦没有好的谢谢,3
149,那个不是我的,2
150,珍爱网,5
151,好知道会发吗,5
152,对的然后我先,1
153,对可是我现在在上班我可能不太方便给您去交流,4
154,成刚打错了吧,2
155,单身不需要啊,3
156,这不是是的呀,2
157,我是没有啊,3
158,我不是啦,2
159,我是女生哎,1
160,哦哦哦十点再说好吗,4
161,啊我姓不需要,3
162,对对对对那个,1
163,哦对我我这个进电梯了等回头再说好的,4
164,哦不好意思我不需要谢谢啊,3
165,怎么知道,5
166,好吧回头再说我这还有,4
167,有啊单身六,1
168,哇这个你知道,5
169,哦不用更换,3
170,我不单身了,2
171,不方便是什么玩意,4
172,哦我找到了啊,2
173,啊是的你好我现在在上班不方便接电话好吧,4
174,啊你好我现在在忙啊等回头再说吧不是,4
175,不是是一,2
176,哦不知道是,5
177,不好意思我现在在上班我姐现在的话很不方便,4
178,啊不需要嗯,3
179,我现在这这有正在忙开会回头再说吧,4
180,哦那个吧,5
181,能够就是,1
182,啊不是的呀,2
183,我这边开会呢,4
184,啊不是疯了吧,2
185,就是这,1
186,搞错了吧没有,2
187,没有搞错了,2
188,我还是大哥,1
189,对是这样子现在在老家我这边现在不方便接听电话抱歉啊,4
190,我是单身单身我现在不需要了好谢谢,3
191,嗯也没空啊,4
192,嗯完了呃不是,2
193,喂没什么时间讲好,4
194,没没没好谢谢谢谢不用谢,3
195,他不需要好吧,3
196,啊那不需要那时候是跟那个朋友的开玩笑露不好意思啊,3
197,嗯这不行,2
198,那有对象吗,2
199,我是那个网站,1
200,没有没有用,2
201,然后就说,1
202,我现在可能说话不太方便啊您能晚点给我打吗,4
203,行现在不是吧,2
204,就打打错了吧,2
205,是本人但有事吗我现在没在外面啊,4
206,不需要现在,3
207,我不是离婚,1
208,没有没有哎,2
209,那个呃,5
210,没有我现在在外面人忙再来啊完了再哎是的哎呀真的好再见啊,4
211,忙呢忙的没有,4
212,哦我不是在找,2
213,以后再说吧,4
214,嗯不是累,2
215,谢谢不需要我是就,3
216,是是什么什么,1
217,哦已经找到了谢谢啊,2
218,现在我在上班不方便说话啊,4
219,啊不用了谢谢我已经找到了,2
220,我现在在外面有事不方便聊天,4
221,我正在开会,4
222,我现在谈对象,2
223,哦那个不,2
224,我这会不方便说完了回头再说啊,4
225,嗯我现在外面出差,4
226,也没有好好,2
227,我跟你说我帮别人注册的我我不是我,6
228,不是单身,2
229,哦哦哦现在暂时不测了,3
230,嗯这不需要了,3
231,哦现在离异了,1
232,嗯那试试,1
233,嗯去年我就说过三遍两年没考虑过这个事情家花缓缓,3
234,你现在,5
235,哦哦哦怎么了是啊,1
236,呃没有单身,2
237,嗯是特么不是,2
